Timestamp,Gender,Age_Group,Education_Level,Employment_Status,Ward,MP_Performance_Rating,MP_Represents_Interests_Effectively,MP_Should_Be_Reelected,Supported_Political_Party,Trusted_Political_Leader,Preferred_Candidate_If_Election_Today,President_Ruto_Performance_Rating,Country_Heading_Right_Direction,Top_Voting_Issues,Important_MP_Qualities
2025-10-01T19:02:00,Female,45-54,Secondary,Employed,Kahuguini,Good,Undecided,Yes,Jubilee,William Ruto,Undecided,Very Poor,Yes,"Security, Healthcare","Development Record, Education Level"
2025-10-01T01:40:00,Female,55+,Postgraduate,Employed,Kiganjo,Poor,Yes,Undecided,UDA,William Ruto,Undecided,Fair,Unsure,"Agriculture/Farming, Education","Honesty, Party Affiliation, Development Record"
2025-10-01T08:18:00,Female,18-24,Secondary,Student,Ngenda,Excellent,No,No,Chama Cha Kazi,Undecided/None,Kungu Kibathi,Fair,Unsure,"Agriculture/Farming, Jobs & Youth Empowerment, Water","Development Record, Education Level, Accessibility"
2025-10-01T20:02:00,Female,35-44,Postgraduate,Self-Employed,Kahuguini,Poor,Undecided,Undecided,Undecided/None,Rigathi Gachagua,Kungu Kibathi,Fair,No,"Roads & Infrastructure, Education, Agriculture/Farming",Accessibility
2025-10-01T18:37:00,Male,55+,Secondary,Employed,Kahuguini,Excellent,Undecided,Undecided,Undecided/None,Undecided/None,Kungu Kibathi,Excellent,No,"Agriculture/Farming, Healthcare, Roads & Infrastructure","Development Record, Education Level, Accessibility"
2025-10-01T01:07:00,Female,25-34,Secondary,Self-Employed,Kiganjo,Good,Undecided,Yes,Democratic Congress Party,Undecided/None,Njinji Murigi,Very Poor,Unsure,"Healthcare, Security, Water","Honesty, Accessibility, Party Affiliation"
2025-10-01T23:16:00,Female,35-44,College,Self-Employed,Ndarugu,Poor,Undecided,No,UDA,Fred Matiangi,Kungu Kibathi,Poor,Unsure,"Roads & Infrastructure, Water, Agriculture/Farming","Honesty, Development Record, Party Affiliation"
2025-10-01T17:37:00,Male,35-44,Postgraduate,Unemployed,Kahuguini,Fair,Yes,Yes,Democratic Congress Party,Undecided/None,Undecided,Excellent,No,"Agriculture/Farming, Jobs & Youth Empowerment, Roads & Infrastructure, Security",Honesty
2025-10-01T20:33:00,Female,35-44,Primary,Student,Kiganjo,Poor,No,Undecided,UDA,Undecided/None,Njinji Murigi,Very Poor,Yes,"Roads & Infrastructure, Agriculture/Farming, Education",Party Affiliation
2025-10-01T04:08:00,Male,35-44,Secondary,Student,Gathugu,Fair,Yes,Undecided,Jubilee,William Ruto,Undecided,Fair,Unsure,"Water, Roads & Infrastructure, Healthcare","Education Level, Development Record"
2025-10-02T12:12:00,Female,55+,Postgraduate,Unemployed,Gathugu,Poor,Undecided,Undecided,Jubilee,William Ruto,Undecided,Fair,No,"Education, Roads & Infrastructure",Development Record
2025-10-02T17:54:00,Male,45-54,Postgraduate,Student,Ngenda,Fair,Yes,No,Democratic Congress Party,Undecided/None,Njinji Murigi,Poor,Unsure,"Jobs & Youth Empowerment, Roads & Infrastructure, Education, Water","Accessibility, Development Record"
2025-10-02T23:00:00,Male,18-24,Postgraduate,Student,Kahuguini,Fair,Yes,Yes,Jubilee,Rigathi Gachagua,Moses Kuria,Good,Yes,"Security, Water","Party Affiliation, Accessibility"
2025-10-02T20:30:00,Male,25-34,Secondary,Self-Employed,Gathugu,Poor,No,Yes,Chama Cha Kazi,William Ruto,Undecided,Poor,Yes,"Agriculture/Farming, Education","Accessibility, Honesty"
2025-10-02T04:03:00,Male,35-44,Secondary,Employed,Ndarugu,Excellent,Undecided,Yes,Chama Cha Kazi,Kalonzo Musyoka,Kungu Kibathi,Very Poor,Unsure,"Roads & Infrastructure, Jobs & Youth Empowerment","Education Level, Development Record"
2025-10-02T01:44:00,Male,25-34,Primary,Self-Employed,Kahuguini,Poor,No,No,Jubilee,Kalonzo Musyoka,Njinji Murigi,Poor,Unsure,"Healthcare, Security",Education Level
2025-10-02T21:05:00,Female,18-24,Postgraduate,Employed,Kiganjo,Excellent,Yes,Undecided,Jubilee,Fred Matiangi,Moses Kuria,Poor,Unsure,"Healthcare, Roads & Infrastructure, Agriculture/Farming","Education Level, Party Affiliation, Development Record"
